Vehicle_ID,Frame_No,Time_s,X_m,Y_m,Speed_mps,Acc_mps2,used_metres,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,372,15.5155,9.031075853,6.287121365,0.26428675,4.44009606,TRUE,1615.409546,1112.288452,1769.290039,1244.021851
1,373,15.55720833,9.046492625,6.286637688,0.369814764,2.530142198,TRUE,1615.481812,1111.578003,1774.995728,1244.551025
1,374,15.59891667,9.054022685,6.286595997,0.180543677,-4.537968113,TRUE,1615.072144,1111.110596,1778.227539,1245.002808
1,375,15.640625,9.044405809,6.288608552,0.235569391,1.319297832,TRUE,1615.241455,1111.528931,1774.453979,1245.338745
1,376,15.68233333,9.029793211,6.290809366,0.354303317,2.846767468,TRUE,1615.549072,1112.457397,1768.6698,1245.235107
1,377,15.72404167,9.030384047,6.29279684,0.049712785,-7.302869907,TRUE,1615.683838,1112.788086,1768.75647,1245.649292
1,378,15.76575,9.051038541,6.295182005,0.498503658,10.76022073,TRUE,1615.406616,1112.803467,1776.774658,1246.527832
1,379,15.80745833,9.048232886,6.296524251,0.074570154,-10.16423986,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,380,15.84916667,9.048232886,6.296524251,0,-1.787895791,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,381,15.890875,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,382,15.93258333,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,383,15.97429167,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,384,16.016,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,385,16.05770833,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,386,16.09941667,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,387,16.141125,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,388,16.18283333,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,389,16.22454167,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,390,16.26625,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,391,16.30795833,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,392,16.34966667,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,393,16.391375,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,394,16.43308333,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,395,16.47479167,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,396,16.5165,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,397,16.55820833,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,398,16.59991667,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,399,16.641625,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,400,16.68333333,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,401,16.72504167,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,402,16.76675,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,403,16.80845833,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,404,16.85016667,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,405,16.891875,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,406,16.93358333,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,407,16.97529167,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
1,408,17.017,9.048232886,6.296524251,0,0,TRUE,1615.341797,1113.702148,1775.787964,1246.132202
